Date,MSCI USA Value
09/2021,626503.7757526408
10/2021,661909.4600171777
11/2021,643603.3061538633
12/2021,687417.7644421144
01/2022,670287.5037645982
02/2022,657490.1562726573
03/2022,676301.7144259406
04/2022,642758.474529007
05/2022,654381.7135335914
06/2022,600329.444177979
07/2022,633930.5194587902
08/2022,615634.5160678632
09/2022,564725.0448963202
10/2022,627354.4634192592
11/2022,664911.26702435
12/2022,639602.2911066246
01/2023,659788.457462828
02/2023,636777.8942789261
03/2023,631700.148353058
04/2023,639631.8501745659
05/2023,613092.6593122219
06/2023,650498.7674426388
07/2023,673531.3047261046
08/2023,656172.1564734359
09/2023,632085.866303778
10/2023,613746.41666016
11/2023,657214.2530479303
12/2023,693022.0521801207
01/2024,696478.5668871513
02/2024,720076.4631738631
03/2024,754539.7708893375
04/2024,722456.6931768748
05/2024,742846.7613300466
06/2024,742400.8098069179
07/2024,777718.0399549364
08/2024,799630.9020535187
09/2024,813059.363531918
10/2024,803131.0303287192
11/2024,846269.0321357263
12/2024,786930.1513647366
01/2025,821689.1055314498
02/2025,829094.4328562984
03/2025,808425.3940279529
04/2025,779483.9990630334
05/2025,799641.8891033006
06/2025,834794.7039073742
07/2025,838591.315211208
08/2025,861368.863704811
09/2025,876411.3618364547
10/2025,867938.505984317
11/2025,882770.8001026202
12/2025,888983.279606474
